items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(7,);1;0.8;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(1,);1;0.8;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(0, 2);2;0.8;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(0, 1);2;0.8;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(2,);1;0.85;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(3,);1;0.85;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(0, 3);2;0.85;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
(0,);1;0.95;[[7], [0, 2], [0, 3], [0, 1]];[[5], [6], [8], [4], [9]];[[7], [5], [0], [6], [8], [4], [9], [2], [0, 3], [0, 1]];[[7], [5], [3], [0], [6], [8], [4], [0, 2], [1], [2], [9]];
