items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(5,);1;0.6;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(2, 3, 6);3;0.65;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(2, 3);2;0.7;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(2, 6);2;0.75;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(3, 6);2;0.75;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(3,);1;0.8;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(6,);1;0.85;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
(2,);1;0.85;[[2, 3, 6], [5]];[[0], [8], [4], [9]];[[6], [5], [2], [3]];[[2, 3, 6], [3], [3, 6], [6], [2, 6], [5], [2, 3], [2]];
