items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(0,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(8,);1;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(8, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(0, 2);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(8, 6);2;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 3, 5);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(8, 2, 6);3;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 3, 5, 6);4;0.4;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 5);2;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 5, 6);3;0.45;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
