items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(3, 5);2;0.5;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(3, 5, 6);3;0.5;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(5, 6);2;0.55;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(5,);1;0.6;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 3, 6);3;0.65;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 3);2;0.7;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(3, 6);2;0.75;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2, 6);2;0.75;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(3,);1;0.8;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(6,);1;0.85;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
(2,);1;0.85;[[2, 3, 5, 6], [0, 2], [8, 2, 6]];[[4], [9]];[[0, 2, 3], [5], [0, 2, 6], [3], [2, 3, 5, 6], [6], [3, 5, 6], [8, 2, 6], [2, 5, 6, 8], [0, 2, 5], [8, 0, 2], [0, 2], [2, 3, 6, 8], [2], [2, 5, 6]];[[5], [3], [0], [3, 6], [6], [5, 6], [2, 6], [3, 5], [8], [2, 3, 5], [2, 3, 6], [2, 5], [2, 3], [2]];
