items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(3,);1;0.8;[[6], [2], [3]];[[5], [0], [8], [4], [9]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];
(6,);1;0.85;[[6], [2], [3]];[[5], [0], [8], [4], [9]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];
(2,);1;0.85;[[6], [2], [3]];[[5], [0], [8], [4], [9]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];[[[5], 12], [[3], 16], [[0], 8], [[6], 17], [[8], 8], [[4], 7], [[2], 17], [[9], 6]];
